Frosty Hesson, We all come from the sea, but we are not all of the sea. Those of us who are, we children of the tides, must return to it again and again, until the day we don't come back leaving behind only that which was touched along the way.
Oscar Wilde, Be yourself; everyone else is already taken.
Mark Twain, If you tell the truth, you don't have to remember anything.
William Shakespeare, All the world's a stage,  And all the men and women merely players;  They have their exits and their entrances;  And one man in his time plays many parts,  His acts being seven ages.
Cherokee Proverb, When you were born, you cried and the world rejoiced. Live your life so that when you die, the world cries and you rejoice.
Frank Sinatra, The best is yet to come and won't that be fine.
Dave Chappelle, If you don't have the right people around you and you're moving at a million miles an hour you can lose yourself.
Abraham Lincoln, Things may come to those who wait, but only the things left by those who hustle.
Eleanor Roosevelt, Do what you feel in your heart to be right – for you’ll be criticized anyway.
Jordan Belfort, The only thing standing between you and your goal is the bullshit story you keep telling yourself as to why you can't achieve it.
Frank Zappa, So many books, so little time.
Albert Einstein, Two things are infinite: the universe and human stupidity; and I'm not sure about the universe.
Robert Frost, In three words I can sum up everything I've learned about life: it goes on.
Mahatma Gandhi, Live as if you were to die tomorrow. Learn as if you were to live forever.
William Shakespeare, The fool doth think he is wise, but the wise man knows himself to be a fool.
George R.R. Martin, A reader lives a thousand lives before he dies, said Jojen. The man who never reads lives only one.
Haruki Murakami, If you only read the books that everyone else is reading, you can only think what everyone else is thinking.
Richard Feynmann, Study hard what interests you the most in the most undisciplined, irreverent and original manner possible.
Elon Musk, My proceeds from the PayPal acquisition were $180 million. I put $100 million in SpaceX, $70m in Tesla, and $10m in Solar City. I had to borrow money for rent.
Arthur Rubinstein, Of course there is no formula for success, except perhaps an unconditional acceptance of life, and what it brings
Joseph Murphy, My body and all its organs were created by the infinite intelligence in my subconscious mind. It knows how to heal me. Its wisdom fashioned all my organs, tissues, muscles, and bones. This infinite healing presence within me is now transforming every cell of my being, making me whole and perfect. I give thanks for the healing I know is taking place at this time. Wonderful are the works of the creative intelligence within me.
Rhonda Byrne, I am whole, perfect, strong, powerful, loving, harmonious, and happy.
